단축코드,표준코드,한글종목명,상장일자,현재가,상장주수,시장구분,상한가,상한가2,하한가,전일종가,시가,고가,저가,종가,누적거래량,기준가,52주최저가,52주최고가,52주최고가일,52주최고대비율,52주최저가일,52주최저대비율,w52저가
257990,KR7257990002,나우코스                                S,0483NNN,23100000,00020251,0,004000000,000000280,000000310,000006950,0 N 0,600012,000294569,100000000,0123000000000000589,000500202,000000000,000000000,0100N090,0NNN00000,0001YNN0,200000010,T000008
258050,KR7258050004,테크트랜스                              S,0050NNN,23100000,08020241,0,0006-0000,00000006-,00000006-,00000007-,0 N 0,490012,000111459,500000000,8071300000000001114,000100201,000000000,000000000,0100N090,0NNN00000,0001YNN0,449000010,T000000
260870,KR7260870001,SK시그넷                                S,1872NNN,23100000,00020241,0,244100000,00002481-,00002428-,00000838-,0 N 0,350012,001083737,400000000,7083000000000002167,000500201,114000000,000000007,0100N090,0NNN00000,0001NNN0,640000010,T000008
266170,KR7266170000,레드우즈                                S,0013NNN,23100000,00020251,0,002700000,00000027-,00000008-,00000000-,0 N 0,000012,000065052,100000000,7060900000000000130,000500201,000000000,000000000,0100N090,0NNN00000,0001YNN0,050000010,T000001
266350,KR7266350008,팡스카이                                S,0050NNN,23100000,00020251,0,001200000,00000012-,00000002-,000000200,0 N 0,500012,000631478,900000000,4062800000000001262,000500202,000000000,000000000,0100N090,0NNN00000,0001YNN0,398000010,T000000
266470,KR7266470004,바이오인프라생명과학                    S,0027NNN,23100000,36020241,0,0031-0000,00000031-,00000020-,00000002-,0 N 0,950012,001393300,600000000,0072200000000002786,000500202,594000000,000000002,0100N090,0NNN00000,0001NNN0,100000010,T000000
267080,KR7267080000,세븐브로이맥주                          S,0057NNN,23100000,00020241,0,017500000,00000173-,00000091-,00000085-,0 N 0,400012,000593570,100000000,4011700000000001187,000500202,000000000,000000000,0100N090,0NNN00000,0001YNN0,486000010,T000000
270210,KR7270210008,에스알바이오텍                          S,0247NNN,23100000,00020241,0,000000000,000000000,000000000,000000000,0 N 0,400012,000085572,100000000,7061500000000000171,000500201,226000000,000000004,0100N090,0NNN00000,0001NNN0,480000010,T000014
276240,KR7276240009,엘리비젼                                S,0054NNN,23100000,00020241,0,0008-3610,00000008-,00000008-,00000019-,0 N 0,900012,000615656,300000000,8070500000000001231,000500201,104000000,000000000,0100N090,0NNN00000,0001NNN0,445000010,T000000
278990,KR7278990007,EMB                                     S,0225NNN,23100000,00020251,0,012800000,00000167-,00000052-,00000238-,0 N 0,850012,000403238,400000000,7103100000000000806,000500201,451000000,000000000,0100N090,0NNN00000,0001NNN0,800000010,T000002
279060,KR7279060008,이노벡스                                S,0011NNN,23100000,00020241,0,0027-3610,00000027-,00000027-,00000062-,0 N 0,660012,000098078,700000000,9041200000000000980,000100201,000000000,000000000,0100N090,0NNN00000,0001YNN0,115000010,T000000
289170,KR7289170003,바이오텐                                S,0119NNN,23100000,04420241,0,0012-0000,00000011-,00000009-,00000055-,0 N 0,450012,000178834,600000000,3101300000000000357,000500202,001000000,000000000,0100N090,0NNN00000,0001NNN0,355000010,T000003
296160,KR7296160005,프로젠                                  S,0721NNN,23100000,00020241,0,000000000,000000000,000000000,000000000,0 N 0,950012,000768753,500000000,3111500000000001537,000500202,695000000,000000003,0100N090,0NNN00000,0001NNN0,695000010,T000004
296520,KR7296520000,가이아코퍼레이션                        S,0018NNN,23100000,00020251,0,004000000,00000040-,00000035-,00000420-,0 N 0,400012,000233350,700000000,3062000000000000466,000500202,003000000,000000000,0100N090,0NNN00000,0001NNN0,403000010,T000000
299480,KR7299480004,지앤이헬스케어                          S,0044NNN,23100000,00020241,0,000100000,00000001-,00000002-,00000031-,0 N 0,430012,000111007,000000000,8062900000000001110,000100201,005000000,000000000,0100N090,0NNN00000,0001NNN0,397000010,T000000
302920,KR7302920004,더콘텐츠온                              S,0127NNN,23100000,04820241,0,0034-0000,00000040-,00000004-,00000117-,0 N 0,950012,000227617,200000000,8081300000000000455,000500201,025000000,000000000,0100N090,0NNN00000,0001NNN0,800000010,T000002
311060,KR7311060008,엘에이티                                S,0265NNN,23100000,00120241,0,000100000,000000010,000000060,000004080,0 N 0,700012,000393606,200000000,8122800000000000787,000500201,084000000,000000000,0100N090,0NNN00000,0001NNN0,370000010,T000003
311960,KR7311960009,인터로이드                              S,0054NNN,23100000,09320241,0,0076-0000,00000088-,00000033-,00000103-,0 N 0,200012,000153133,200000000,2112900000000000306,000500202,074000000,000000000,0100N090,0NNN00000,0001NNN0,780000010,T000001
317860,KR7317860005,노드메이슨                              S,0212NNN,23100000,00020251,0,003700000,00000028-,00000017-,00000211-,0 N 0,750012,000225660,300000000,9120600000000000451,000500201,500000000,000000000,0100N090,0NNN00000,0001NNN0,700000010,T000004
318660,KR7318660008,타임기술                                S,0063NNN,23100000,20020241,0,0015-0000,00000015-,00000013-,00000052-,0 N 0,050012,000107605,200000000,1062400000000000215,000500202,025000000,000000000,0100N090,0NNN00000,0001NNN0,950000010,T000002
322970,KR7322970005,무진메디                                S,0239NNN,23100000,08820241,0,0062-0000,00000062-,00000029-,00000001-,0 N 0,450012,000504284,500000000,0062400000000001008,000500202,500000000,000000002,0100N090,0NNN00000,0001NNN0,375000010,T000002
327610,KR7327610002,펨토바이오메드                          S,0049NNN,23100000,00020241,0,0049-3610,00000049-,00000053-,00000002-,0 N 0,300012,000426804,600000000,9071000000000000853,000500201,000000000,000000000,0100N090,0NNN00000,0001YNN0,585000010,T000000
331660,KR7331660001,한국미라클피플사                        S,0210NNN,23100000,00020241,0,0010-3610,000000100,000000200,000002760,0 N 0,000012,000055000,000000000,9102800000000000550,000100201,228000000,000000000,0100N090,0NNN00000,0001NNN0,830000010,T000003
332190,KR7332190008,오션스바이오                            S,0088NNN,23100000,00020241,0,001400000,00000014-,00000019-,00000002-,0 N 0,390012,000014778,700000000,5011400000000000147,000100202,004000000,000000000,0100N090,3NNN00000,0001NNN0,000000010,T000006
