단축코드,표준코드,한글명,그룹코드,시가총액규모,지수업종대분류,지수업종중분류,지수업종소분류,제조업,저유동성,지배구조지수종목,KOSDAQ섹터업종,KOSDAQ100,KOSDAQ150,KRX,ETP,ELW발행,KRX100,KRX자동차,KRX반도체,KRX바이오,KRX은행,SPAC,KRX에너지화학,KRX철강,단기과열,KRX미디어통신,KRX건설,Non1,KRX증권,KRX선박,KRX섹터보험,KRX섹터운송,SRI,기준가,매매수량단위,시간외수량단위,거래정지,정리매매,관리종목,시장경고,경고예고,불성실공시,우회상장,락구분,액면변경,증자구분,증거금비율,신용가능,신용기간,전일거래량,액면가,상장일자,상장주수,자본금,결산월,공모가,우선주,공매도과열,이상급등,KRX300,KOSDAQ,매출액,영업이익,경상이익,당기순이익,ROE,기준년월,시가총액,그룹사코드,회사신용한도초과,담보대출가능,대주가능
0015S0,KR70015S0005,페스카로,ST,0.0,1006,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,0,0,0,0,1,92000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,7165700000,50020251,21000000,986600000,493336500012,,0 NN0,0,0,0,0,0,066000000,006000000,010000100,0,202603,31000001,077   NNN,,,,
001810,KR7001810001,무림SP,ST,3.0,1009,1021,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,0,0,0,0,132100001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,3707500000,50020000,10400000,2213700000,1106875000012,,0 NN0,0,0,0,0,0,576000000,002-00000,034-0025-,0,2202603,31000000,292   NNN,,,,
001840,KR7001840008,이화공영,ST,3.0,1010,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,0,0,0,0,221500001,1,YNY00,N,N,N,0,0,0,0,1,0,N0,900,0,0,0,50019941,12300000,2825600000,1412840450012,,0 NN0,0,0,0,0,0,000000000,000000000,000000000,0,202509,30000000,625   NNN,,,,
002230,KR7002230001,피에스텍,ST,3.0,1009,1029,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,0,0,0,0,729000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,18670100000,50019910,10400000,1870500000,983462150012,,0 NN0,0,0,0,0,0,176000000,004000000,088000690,0,11202603,31000001,363   NNN,,,,
002290,KR7002290005,삼일기업공사,ST,3.0,1010,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,0,0,0,0,362500001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,4233500000,50019921,13000000,1240000000,620000000012,,0 NN0,0,0,0,0,1,127000000,057000000,070000580,0,9202412,31000000,449   NNN,,,,
002680,KR7002680007,한탑,ST,3.0,1009,1019,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,0,0,0,0,50400001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,18182800000,50019950,70700000,3231600000,1615839950012,,0 NN0,0,0,0,0,0,198-00000,009-00000,027-0028-,0,3202603,31000000,162   NNN,,,,
002800,KR7002800001,신신제약,ST,3.0,1009,1024,0,,N,N,,N,,,,,N,,,0,,,N,,,,,N,0,0,0,0,0,509000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,6954300000,50020170,22800000,1517000000,758525000012,,0 NN0,0,0,0,0,0,302000000,032000000,032000290,0,16202603,31000000,772   NNN,,,,
003100,KR7003100005,선광,ST,3.0,1013,0,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,0,0,0,2,90000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,3585200000,100019991,22100000,660000000,660000000012,,0 NN0,0,0,0,0,0,443000000,106000000,112000940,0,10202603,31000001,379   NNN,,,,
003310,KR7003310000,대주산업,ST,3.0,1009,1019,0,N,N,N,,N,N,N,N,N,N,N,N,0,N,N,N,N,N,N,N,N,0,0,0,0,0,258500001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,58593200000,50019920,80100000,3539200000,1869617500012,,0 NN0,0,0,0,0,0,250000000,020000000,020000160,0,6202603,31000000,914   NNN,,,,
003380,KR7003380003,하림지주,ST,1.0,1014,0,0,,N,N,,N,,,,,N,,,0,,,N,,,,,Y,0,0,0,0,1,133000001,1,NNN00,N,N,N,0,0,0,0,1,0,N0,900,0,0,72889100000,10020170,63000000,11200500000,1124204780012,,0 NN0,0,0,0,3,5,541000002,583000001,455014110,0,8202603,31000012,690HRMNNN,,,,
