구분코드,심볼,영문명,한글명,종목업종코드,다우30편입여부,나스닥100편입여부,SP500편입여부,거래소코드,국가구분코드
H,CH:517330 ,EFD CSI YT RIVER PTN ETF,EFD CSI YT RIVER PTN ETF,    , , , ,SHSE,CH 
H,CH:517350 ,GF SHS TECH TOP ETF,GF SHS TECH TOP ETF,    , , , ,SHSE,CH 
H,CH:517360 ,HA CSI SHS TECH 100 ETF,HA CSI SHS TECH 100 ETF,    , , , ,SHSE,CH 
H,CH:517366 ,517366,517366,    , , , ,SHSE,CH 
H,CH:517380 ,Tianhong Hang Seng Shanghai-Shenzhen-H.,Tianhong Hang Seng Shangh, Inn,o, ,D,SHSE,CH 
H,CH:517386 ,517386,517386,    , , , ,SHSE,CH 
H,CH:517390 ,TH SHS CLOUD COMP IND ETF,TH SHS CLOUD COMP IND ETF,    , , , ,SHSE,CH 
H,CH:517400 ,Guotai CSI SH-SZ-HK Gold Industry Equit,Guotai CSI SH-SZ-HK Gold, ETF, , , ,SHSE,CH 
H,CH:517520 ,Maxwealth CSI Shanghai-Shenzhen-Hong Ko,Maxwealth CSI Shanghai-Sh,g Go,l,d, ,SHSE,CH 
H,CH:517550 ,CMF CSI SH-HK-SZ Consumer Top Exchange,CMF CSI SH-HK-SZ Consumer,rade,d, ,F,SHSE,CH 
H,CH:517556 ,517556,517556,    , , , ,SHSE,CH 
H,CH:517660 ,Tianhong CSI SH-HK-SZ Internet Exchange,Tianhong CSI SH-HK-SZ Int,Trad,e,d, ,SHSE,CH 
H,CH:517666 ,517666,517666,    , , , ,SHSE,CH 
H,CH:517766 ,517766,517766,    , , , ,SHSE,CH 
H,CH:517770 ,AXA SPDB CSI SH-HK-SZ Game & Cultural M,AXA SPDB CSI SH-HK-SZ Gam,dia ,E,x,c,SHSE,CH 
H,CH:517776 ,517776,517776,    , , , ,SHSE,CH 
H,CH:517800 ,Founder Fubon CSI SH-HK-SZ Artificial I,Founder Fubon CSI SH-HK-S,tell,i,g,e,SHSE,CH 
H,CH:517850 ,China Universal CSI SH-HK-SZ Zhangjiang,China Universal CSI SH-HK,Inno,v,a,t,SHSE,CH 
H,CH:517880 ,Huatai-PB CSI SH-HK-SZ Consumer Brand 5,Huatai-PB CSI SH-HK-SZ Co, Exc,h,a,n,SHSE,CH 
H,CH:517900 ,CMF CSI Banks AH Price Select Exchange,CMF CSI Banks AH Price Se,rade,d, ,F,SHSE,CH 
H,CH:517950 ,BOCOM Schroders CSI SH-SZ-HK Technology,BOCOM Schroders CSI SH-SZ,50 C,u,s,t,SHSE,CH 
H,CH:517990 ,CMF CSI SSE-HKEx-SZSE 500 Medicine Heal,CMF CSI SSE-HKEx-SZSE 500,h ET,F, , ,SHSE,CH 
