구분코드,심볼,영문명,한글명,종목업종코드,다우30편입여부,나스닥100편입여부,SP500편입여부,거래소코드,국가구분코드
H,CZ:300076 ,Ningbo GQY Video & Telecom JSC Ltd,GQY미디어,    , , , ,SZSE,CZ 
H,CZ:300077 ,Nsing Technologies Inc,국민기술,    , , , ,SZSE,CZ 
H,CZ:300078 ,Hangzhou Century Co Ltd,사창의혜과기,    , , , ,SZSE,CZ 
H,CZ:300079 ,Sumavision Technologies Co Ltd,수마비전테크,    , , , ,SZSE,CZ 
H,CZ:300080 ,Henan Yicheng New Energy Co Ltd,역성신에너지,    , , , ,SZSE,CZ 
H,CZ:300081 ,Hengxin Shambala Culture Co Ltd,항신모바일,    , , , ,SZSE,CZ 
H,CZ:300082 ,Liao Ning Oxiranchem Inc,오극화학,    , , , ,SZSE,CZ 
H,CZ:300083 ,Guangdong Create Century Intelligent Eq,경성정밀부품p Corp Ltd,    , , , ,SZSE,CZ 
H,CZ:300084 ,Haimo Technologies Group Corp,해묵과기,    , , , ,SZSE,CZ 
H,CZ:300085 ,Shenzhen InfoTech Technologies Co Ltd,은지걸,    , , , ,SZSE,CZ 
H,CZ:300086 ,Honz Pharmaceutical Co Ltd,강지제약,    , , , ,SZSE,CZ 
H,CZ:300087 ,Winall Hi-tech Seed Co Ltd,전은하이테크씨드,    , , , ,SZSE,CZ 
H,CZ:300088 ,Wuhu Token Science Co Ltd,장신테크놀로지,    , , , ,SZSE,CZ 
H,CZ:300090 ,Anhui Shengyun Environment-Protection G,성운환경보호,    , , , ,SZSE,CZ 
H,CZ:300091 ,Jin Tong Ling Technology Group Co Ltd,장쑤 진퉁링 유체기계과학기술,    , , , ,SZSE,CZ 
H,CZ:300092 ,Sichuan Kexin Mechanical and Electrical,과신기전nt Co Ltd,    , , , ,SZSE,CZ 
H,CZ:300093 ,Gansu Jingang Solar Co Ltd,금강유리기술,    , , , ,SZSE,CZ 
H,CZ:300094 ,Zhanjiang Guolian Aquatic Products Co L,국련수산개발,    , , , ,SZSE,CZ 
H,CZ:300095 ,Jiangxi Huawu Brake Co Ltd,화동브레이크,    , , , ,SZSE,CZ 
H,CZ:300096 ,YLZ Information Technology Co Ltd,YLZ 정보기술,    , , , ,SZSE,CZ 
H,CZ:300097 ,Dalian Zhiyun Automation Co Ltd,지운자동화장비,    , , , ,SZSE,CZ 
H,CZ:300098 ,Gosuncn Technology Group Co Ltd,고신흥과기,    , , , ,SZSE,CZ 
H,CZ:300099 ,Uroica Precision Information Engineerin,우락정준신식공정,    , , , ,SZSE,CZ 
H,CZ:300100 ,Shuanglin Co Ltd,쌍림자동차부품,    , , , ,SZSE,CZ 
H,CZ:300101 ,Chengdu CORPRO Technology Co Ltd,진심테크놀로지,    , , , ,SZSE,CZ 
H,CZ:300102 ,Xiamen Changelight Co Ltd,건조광전,    , , , ,SZSE,CZ 
H,CZ:300103 ,Dagang Holding Group Co Ltd,달강도로기계,    , , , ,SZSE,CZ 
H,CZ:300104 ,Leshi Internet Information & Technology,러스왕Beijing,    , , , ,SZSE,CZ 
H,CZ:300105 ,Yantai Longyuan Power Technology Co Ltd,용원전력기술,    , , , ,SZSE,CZ 
H,CZ:300106 ,Xinjiang Western Animal Husbandry Co Lt,서부목업,    , , , ,SZSE,CZ 
H,CZ:300107 ,Hebei Jianxin Chemical Industry Co Ltd,건식화학공업,    , , , ,SZSE,CZ 
H,CZ:300108 ,Ji Yao Holding Group Co Ltd,길약홀딩스,    , , , ,SZSE,CZ 
H,CZ:300109 ,Boai NKY Medical Holdings Ltd,신개원제약,    , , , ,SZSE,CZ 
H,CZ:300110 ,Huaren Pharmaceutical Co Ltd,화인제약,    , , , ,SZSE,CZ 
H,CZ:300111 ,Zhejiang Sunflower Great Health Co Ltd,향일규태양광,    , , , ,SZSE,CZ 
H,CZ:300112 ,Shenzhen Maxonic Automation Control Co,만신자동화제어,    , , , ,SZSE,CZ 
H,CZ:300113 ,Hangzhou Shunwang Technology Co Ltd,순망테크,    , , , ,SZSE,CZ 
H,CZ:300115 ,Shenzhen Everwin Precision Technology C,장영정밀,    , , , ,SZSE,CZ 
H,CZ:300118 ,Risen Energy Co Ltd,일승신에너지,    , , , ,SZSE,CZ 
H,CZ:300119 ,Tianjin Ringpu Bio-Technology Co Ltd,서보바이오테크놀로지,    , , , ,SZSE,CZ 
H,CZ:300120 ,Tianjin Jingwei Huikai Optoelectronic C,경위전선,    , , , ,SZSE,CZ 
H,CZ:300121 ,Shandong Yanggu Huatai Chemical Co Ltd,양곡화태화학,    , , , ,SZSE,CZ 
H,CZ:300122 ,Chongqing Zhifei Biological Products Co,자비바이오,    , , , ,SZSE,CZ 
H,CZ:300123 ,YaGuang Technology Group Co Ltd,태양요트,    , , , ,SZSE,CZ 
H,CZ:300124 ,Shenzhen Inovance Technology Co Ltd,회천기술,    , , , ,SZSE,CZ 
H,CZ:300125 ,Lingda Group Co Ltd,역세달신에너지발전,    , , , ,SZSE,CZ 
H,CZ:300126 ,Ken Holding Co Ltd,예기홀딩스,    , , , ,SZSE,CZ 
H,CZ:300127 ,Chengdu Galaxy Magnets Co Ltd,갤럭시마그네틱,    , , , ,SZSE,CZ 
H,CZ:300128 ,Suzhou Jinfu Technology Co Ltd,금부신소재,    , , , ,SZSE,CZ 
H,CZ:300129 ,TSP Wind Power Group Co Ltd,태성풍력장비,    , , , ,SZSE,CZ 
H,CZ:300130 ,XGD Inc,신국도테크놀로지,    , , , ,SZSE,CZ 
H,CZ:300131 ,Shenzhen Yitoa Intelligent Control Co L,영당지능제어,    , , , ,SZSE,CZ 
H,CZ:300132 ,Fujian Green Pine Co Ltd,청송,    , , , ,SZSE,CZ 
H,CZ:300133 ,Zhejiang Huace Film & TV Co Ltd,화체미디어,    , , , ,SZSE,CZ 
H,CZ:300134 ,Anhui Tatfook Technology Co Ltd,대복테크,    , , , ,SZSE,CZ 
H,CZ:300135 ,Jiangsu Baoli International Investment,보리국제투자,    , , , ,SZSE,CZ 
H,CZ:300136 ,Shenzhen Sunway Communication Co Ltd,신유통신,    , , , ,SZSE,CZ 
H,CZ:300137 ,Hebei Sailhero Environmental Protection,선하환보ch Co Ltd,    , , , ,SZSE,CZ 
H,CZ:300138 ,Chenguang Biotech Group Co Ltd,신광바이오테크그룹,    , , , ,SZSE,CZ 
H,CZ:300139 ,Beijing Xiaocheng Technology Stock Co L,효정테크놀로지,    , , , ,SZSE,CZ 
H,CZ:300140 ,CECEP Environmental Protection Co Ltd,CECEP환경보호장비,    , , , ,SZSE,CZ 
H,CZ:300141 ,Suzhou Industrial Park Heshun Electric,화순전기,    , , , ,SZSE,CZ 
H,CZ:300142 ,Walvax Biotechnology Co Ltd,옥삼바이오,    , , , ,SZSE,CZ 
H,CZ:300143 ,Inkon Life Technology Co Ltd,성보바이오테크놀로지,    , , , ,SZSE,CZ 
H,CZ:300144 ,Songcheng Performance Development Co Lt,송성연예,    , , , ,SZSE,CZ 
H,CZ:300145 ,Nanfang Pump Industry Co Ltd,중금환경,    , , , ,SZSE,CZ 
H,CZ:300146 ,By-health Co Ltd,탕신배건,    , , , ,SZSE,CZ 
H,CZ:300147 ,Xiangxue Pharmaceutical Co Ltd,향설제약,    , , , ,SZSE,CZ 
H,CZ:300148 ,Tangel Publishing Co Ltd,천주문화,    , , , ,SZSE,CZ 
H,CZ:300149 ,Chempartner Pharmatech Co Ltd,양자고가,    , , , ,SZSE,CZ 
H,CZ:300150 ,Beijing Century Real Technology Co Ltd,세기서이,    , , , ,SZSE,CZ 
H,CZ:300151 ,Shenzhen Changhong Technology Co Ltd,창홍과기,    , , , ,SZSE,CZ 
H,CZ:300152 ,Xiongan New Power Technology Co Ltd,과융환경자원,    , , , ,SZSE,CZ 
H,CZ:300153 ,Shanghai Cooltech Power Co Ltd,과태전원,    , , , ,SZSE,CZ 
H,CZ:300154 ,Shenzhen Riland Industry Group Co Ltd,서릉실업,    , , , ,SZSE,CZ 
H,CZ:300155 ,Guangdong Anjubao Digital Technology Co,안거보디지털,    , , , ,SZSE,CZ 
H,CZ:300156 ,Shenwu Environmental Technology Co Ltd,신무환경보호기술,    , , , ,SZSE,CZ 
H,CZ:300157 ,New JCM Group Co Ltd,랜드오션,    , , , ,SZSE,CZ 
H,CZ:300158 ,Shanxi Zhendong Pharmaceutical Co Ltd,진동제약,    , , , ,SZSE,CZ 
H,CZ:300159 ,Xinjiang Machinery Research Institute C,신장기계연구원,    , , , ,SZSE,CZ 
H,CZ:300160 ,Jiangsu Xiuqiang Glasswork Co Ltd,수강유리공예,    , , , ,SZSE,CZ 
H,CZ:300161 ,Wuhan Huazhong Numerical Control System,화중수치제어,    , , , ,SZSE,CZ 
H,CZ:300162 ,Ledman Optoelectronic Co Ltd,뇌만광전과기,    , , , ,SZSE,CZ 
H,CZ:300163 ,Ningbo Xianfeng New Material Co Ltd,선봉신소재,    , , , ,SZSE,CZ 
H,CZ:300164 ,Tong Petrotech Corp,통원석유,    , , , ,SZSE,CZ 
H,CZ:300165 ,Jiangsu Skyray Instrument Co Ltd,천서측정기,    , , , ,SZSE,CZ 
H,CZ:300166 ,Business-intelligence of Oriental Natio,동박국신Ltd,    , , , ,SZSE,CZ 
H,CZ:300167 ,Shenzhen Dvision Co Ltd,적위영상,    , , , ,SZSE,CZ 
H,CZ:300168 ,Wonders Information Co Ltd,만달정보,    , , , ,SZSE,CZ 
H,CZ:300169 ,Changzhou Tiansheng New Materials Group,천성신소재,    , , , ,SZSE,CZ 
H,CZ:300170 ,Hand Enterprise Solutions Co Ltd,핸드정보기술,    , , , ,SZSE,CZ 
H,CZ:300171 ,Tofflon Science and Technology Group Co,동부룡,    , , , ,SZSE,CZ 
H,CZ:300172 ,CEC Environmental Protection Co Ltd,중전환경보호,    , , , ,SZSE,CZ 
H,CZ:300173 ,Funeng Oriental Equipment Technology Co,송덕스마트장비,    , , , ,SZSE,CZ 
H,CZ:300174 ,Fujian Yuanli Active Carbon Co Ltd,원력활성탄,    , , , ,SZSE,CZ 
H,CZ:300175 ,Lonture Co Ltd,낭원,    , , , ,SZSE,CZ 
H,CZ:300176 ,Guangdong Hongteo Technology Co Ltd,홍특정밀기술,    , , , ,SZSE,CZ 
H,CZ:300177 ,Guangzhou Hi-Target Navigation Tech Co,중해달위성기술,    , , , ,SZSE,CZ 
H,CZ:300178 ,Tempus Global Business Service Group Ho,등방국제d,    , , , ,SZSE,CZ 
H,CZ:300179 ,SF Diamond Co Ltd,SF 다이아몬드,    , , , ,SZSE,CZ 
H,CZ:300180 ,Huafon Microfibre (Shanghai) Co Ltd,화봉마이크로섬유,    , , , ,SZSE,CZ 
H,CZ:300181 ,Zhejiang Jolly Pharmaceutical Co Ltd,좌력제약,    , , , ,SZSE,CZ 
H,CZ:300182 ,Beijing Jetsen Technology Co Ltd,첩성세기과기,    , , , ,SZSE,CZ 
H,CZ:300183 ,Qingdao Eastsoft Communication Technolo,동연통신기술,    , , , ,SZSE,CZ 
H,CZ:300184 ,Wuhan P&S Information Technology Co Ltd,역원정보,    , , , ,SZSE,CZ 
H,CZ:300185 ,Tongyu Heavy Industry Co Ltd,통유중공업,    , , , ,SZSE,CZ 
H,CZ:300187 ,Yonker Environmental Protection Co Ltd,영청환경보호,    , , , ,SZSE,CZ 
H,CZ:300188 ,SDIC Intelligence Information Technolog,미아백과정보,    , , , ,SZSE,CZ 
H,CZ:300189 ,Hainan Shennong Seed Industry Technolog,신농유전자,    , , , ,SZSE,CZ 
H,CZ:300190 ,WELLE Environmental Group Co Ltd,유이리환경보호,    , , , ,SZSE,CZ 
H,CZ:300191 ,Sino Geophysical Co Ltd,잠능에너지,    , , , ,SZSE,CZ 
H,CZ:300192 ,Suzhou Kingswood Education Technology C,과사오덕잉크,    , , , ,SZSE,CZ 
H,CZ:300193 ,Shenzhen Jasic Technology Co Ltd,가사테크,    , , , ,SZSE,CZ 
H,CZ:300194 ,Fuan Pharmaceutical (Group) Co Ltd,복안제약그룹,    , , , ,SZSE,CZ 
H,CZ:300195 ,Masterwork Group Co Ltd,장영테크놀로지,    , , , ,SZSE,CZ 
H,CZ:300196 ,Jiangsu Changhai Composite Materials Co,장해복합재료,    , , , ,SZSE,CZ 
H,CZ:300197 ,CECEP Techand Ecology & Environment Co,철한생태,    , , , ,SZSE,CZ 
H,CZ:300198 ,Fujian Newchoice Pipe Technology Co Ltd,납천파이프,    , , , ,SZSE,CZ 
H,CZ:300199 ,Hybio Pharmaceutical Co Ltd,한우제약,    , , , ,SZSE,CZ 
H,CZ:300200 ,Beijing Comens New Materials Co Ltd,고맹신소재,    , , , ,SZSE,CZ 
H,CZ:300201 ,Xuzhou Handler Special Vehicle Co Ltd,해륜철전용차량,    , , , ,SZSE,CZ 
H,CZ:300202 ,Julong Co Ltd,취룡금융기기,    , , , ,SZSE,CZ 
H,CZ:300203 ,Focused Photonics (Hangzhou) Inc,취광과기,    , , , ,SZSE,CZ 
H,CZ:300204 ,Staidson (Beijing) Biopharmaceuticals C,서태신바이오,    , , , ,SZSE,CZ 
H,CZ:300205 ,Wuhan Tianyu Information Industry Co Lt,천유정보,    , , , ,SZSE,CZ 
H,CZ:300206 ,Edan Instruments Inc,이방정밀측정기,    , , , ,SZSE,CZ 
H,CZ:300207 ,Sunwoda Electronic Co Ltd,흔왕달전자,    , , , ,SZSE,CZ 
H,CZ:300209 ,Xingyun Technology Co Ltd,천택정보산업,    , , , ,SZSE,CZ 
H,CZ:300210 ,Anshan Senyuan Road & Bridge Co Ltd,삼원도로교량,    , , , ,SZSE,CZ 
H,CZ:300211 ,Jiangsu Yitong High-Tech Co Ltd,억통첨단기술,    , , , ,SZSE,CZ 
H,CZ:300212 ,Beijing E-hualu Information Technology,이화록정보기술,    , , , ,SZSE,CZ 
H,CZ:300213 ,Beijing Jiaxun Feihong Electrical Co Lt,가산비홍전기,    , , , ,SZSE,CZ 
H,CZ:300214 ,Shandong Rike Chemical Co Ltd,일과화학,    , , , ,SZSE,CZ 
H,CZ:300215 ,Suzhou Electrical Apparatus Science Aca,소주전기과학원,    , , , ,SZSE,CZ 
H,CZ:300217 ,Zhenjiang Dongfang Electric Heating Tec,동방전열과학기술,    , , , ,SZSE,CZ 
H,CZ:300218 ,Anhui Anli Material Technology Co Ltd,안리소재기술,    , , , ,SZSE,CZ 
H,CZ:300219 ,Hongli Zhihui Group Co Ltd,홍리지회그룹,    , , , ,SZSE,CZ 
H,CZ:300220 ,Wuhan Golden Laser Co Ltd,금운레이저,    , , , ,SZSE,CZ 
H,CZ:300221 ,Guangdong Silver Age Sci and Tech Co Lt,은희과기,    , , , ,SZSE,CZ 
H,CZ:300222 ,CSG Smart Science and Technology Co Ltd,CSG 스마트 과학기술,    , , , ,SZSE,CZ 
H,CZ:300223 ,Ingenic Semiconductor Co Ltd,군정집적회로,    , , , ,SZSE,CZ 
H,CZ:300224 ,Yantai Zhenghai Magnetic Material Co Lt,정해자성소재,    , , , ,SZSE,CZ 
H,CZ:300225 ,Shanghai Kinlita Chemical Co Ltd,금력태화학,    , , , ,SZSE,CZ 
H,CZ:300226 ,Shanghai Ganglian E-Commerce Holdings C,강연전자상거래,    , , , ,SZSE,CZ 
H,CZ:300227 ,Shenzhen Sunshine Laser and Electronics,광운체전과기Co Ltd,    , , , ,SZSE,CZ 
H,CZ:300228 ,Zhangjiagang Furui Special Equipment Co,부서특수장비,    , , , ,SZSE,CZ 
H,CZ:300229 ,TRS Information Technology Co Ltd,베이징 TRS 정보기술,    , , , ,SZSE,CZ 
H,CZ:300230 ,Shanghai Yongli Belting Co Ltd,영리벨팅,    , , , ,SZSE,CZ 
H,CZ:300231 ,Beijing Trust&Far Technology Co Ltd,은신과기,    , , , ,SZSE,CZ 
H,CZ:300232 ,Unilumin Group Co Ltd,주명과기,    , , , ,SZSE,CZ 
H,CZ:300233 ,Shandong Jincheng Pharmaceutical Group,금성제약,    , , , ,SZSE,CZ 
H,CZ:300234 ,Zhejiang Kaier New Materials Co Ltd,개이신소재,    , , , ,SZSE,CZ 
H,CZ:300235 ,Shenzhen Fangzhi Science & Technology C,방직과기,    , , , ,SZSE,CZ 
H,CZ:300236 ,Shanghai Sinyang Semiconductor Material,신양반도체재료,    , , , ,SZSE,CZ 
H,CZ:300237 ,Shandong Meichen Technology Group Co Lt,미신과학기술,    , , , ,SZSE,CZ 
H,CZ:300238 ,Guanhao Biotech Co Ltd,관호바이오,    , , , ,SZSE,CZ 
H,CZ:300239 ,Baotou Dongbao Bio-Tech Co Ltd,동보바이오테크,    , , , ,SZSE,CZ 
H,CZ:300240 ,Jiangsu Feiliks International Logistics,비력달국제물류,    , , , ,SZSE,CZ 
H,CZ:300241 ,Shenzhen Refond Optoelectronics Co Ltd,서봉광전자,    , , , ,SZSE,CZ 
H,CZ:300242 ,Jiayun Technology Inc,명가연합,    , , , ,SZSE,CZ 
H,CZ:300243 ,Shandong Ruifeng Chemical Co Ltd,서봉고분자화학,    , , , ,SZSE,CZ 
H,CZ:300244 ,Dian Diagnostics Group Co Ltd,적안진단,    , , , ,SZSE,CZ 
H,CZ:300245 ,Shanghai DragonNet Technology Co Ltd,천기과기,    , , , ,SZSE,CZ 
H,CZ:300246 ,Guangdong Biolight Meditech Co Ltd,보래특의료기술,    , , , ,SZSE,CZ 
H,CZ:300247 ,Youngy Health Co Ltd,악금건강기술,    , , , ,SZSE,CZ 
H,CZ:300248 ,Newcapec Electronics Co Ltd,신개보전자,    , , , ,SZSE,CZ 
H,CZ:300249 ,Yimikang Tech Group Co Ltd,의미강환경과기,    , , , ,SZSE,CZ 
H,CZ:300250 ,Hangzhou CNCR-IT Co Ltd,초령정보,    , , , ,SZSE,CZ 
H,CZ:300251 ,Beijing Enlight Media Co Ltd,광선미디어,    , , , ,SZSE,CZ 
H,CZ:300252 ,Kingsignal Technology Co Ltd,금신낙,    , , , ,SZSE,CZ 
H,CZ:300253 ,Winning Health Technology Group Co Ltd,위닝소프트,    , , , ,SZSE,CZ 
H,CZ:300254 ,Shanxi C&Y Pharmaceutical Group Co Ltd,천원제약,    , , , ,SZSE,CZ 
H,CZ:300255 ,Hebei Changshan Biochemical Pharmaceuti,상산생화학,    , , , ,SZSE,CZ 
H,CZ:300256 ,Jiangxi Firstar Panel Technology Co Ltd,성성테크놀로지,    , , , ,SZSE,CZ 
H,CZ:300257 ,Kaishan Group Co Ltd,절강개산,    , , , ,SZSE,CZ 
H,CZ:300258 ,Jiangsu Pacific Precision Forging Co Lt,태평양정밀과학기술,    , , , ,SZSE,CZ 
H,CZ:300259 ,Suntront Technology Co Ltd,신천테크놀로지,    , , , ,SZSE,CZ 
H,CZ:300260 ,Kunshan Kinglai Hygienic Materials Co L,신래결정응용재료,    , , , ,SZSE,CZ 
H,CZ:300261 ,ABA Chemicals Corp,아본화학,    , , , ,SZSE,CZ 
H,CZ:300263 ,Longhua Technology Group (Luoyang) Co L,늉화절능,    , , , ,SZSE,CZ 
H,CZ:300264 ,AVIT Ltd,가창비디오,    , , , ,SZSE,CZ 
H,CZ:300265 ,Jiangsu Tongguang Electronic Wire and C,통광전선케이블,    , , , ,SZSE,CZ 
H,CZ:300266 ,Xingyuan Environment Technology Co Ltd,흥원환경,    , , , ,SZSE,CZ 
H,CZ:300267 ,Hunan Er-Kang Pharmaceutical Co Ltd,이강제약,    , , , ,SZSE,CZ 
H,CZ:300268 ,Joyvio Food Co Ltd,가옥농업개발,    , , , ,SZSE,CZ 
H,CZ:300269 ,Shenzhen Liantronics Co Ltd,연건광전,    , , , ,SZSE,CZ 
H,CZ:300270 ,Joyware Electronics Co Ltd,중위전자,    , , , ,SZSE,CZ 
H,CZ:300271 ,Beijing Thunisoft Corp Ltd,화우소프트웨어,    , , , ,SZSE,CZ 
H,CZ:300272 ,Canature Health Technology Group Co Ltd,개능환경설비,    , , , ,SZSE,CZ 
H,CZ:300274 ,Sungrow Power Supply Co Ltd,양광전원,    , , , ,SZSE,CZ 
H,CZ:300275 ,Chongqing Mas Sci and Tech Co Ltd,매안삼과학기술,    , , , ,SZSE,CZ 
H,CZ:300276 ,SanFeng Intelligent Equipment Group Co,삼봉컨베이어,    , , , ,SZSE,CZ 
H,CZ:300277 ,Hangzhou Turbine Power Group Co Ltd,해연신테크놀로지,    , , , ,SZSE,CZ 
H,CZ:300278 ,Huachangda Intelligent Equipment Group,화창달지능장비그룹,    , , , ,SZSE,CZ 
H,CZ:300279 ,Wuxi Hodgen Technology Co Ltd,화정과학기술,    , , , ,SZSE,CZ 
H,CZ:300281 ,Guangdong Jinming Machinery Co Ltd,금명정기,    , , , ,SZSE,CZ 
H,CZ:300282 ,Sansheng Intellectual Education Technol,휘관신기술,    , , , ,SZSE,CZ 
H,CZ:300283 ,Wenzhou Hongfeng Electrical Alloy Co Lt,굉봉전기합금,    , , , ,SZSE,CZ 
H,CZ:300284 ,JSTI Group,JSTI 그룹,    , , , ,SZSE,CZ 
H,CZ:300285 ,Shandong Sinocera Functional Material C,국자기능재료,    , , , ,SZSE,CZ 
H,CZ:300286 ,Acrel Co Ltd,안과서전기,    , , , ,SZSE,CZ 
H,CZ:300287 ,Beijing Philisense Technology Co Ltd,비리신기술,    , , , ,SZSE,CZ 
H,CZ:300288 ,Guiyang Longmaster Information & Techno,랑마정보Ltd,    , , , ,SZSE,CZ 
H,CZ:300289 ,Beijing Leadman Biochemistry Co Ltd,이덕만생화학,    , , , ,SZSE,CZ 
H,CZ:300290 ,Bringspring Science and Technology Co L,영과테크놀로지,    , , , ,SZSE,CZ 
H,CZ:300291 ,Beijing Baination Pictures Co Ltd,화록백납영상,    , , , ,SZSE,CZ 
H,CZ:300292 ,Wutong Holding Group Co Ltd,오통홀딩스,    , , , ,SZSE,CZ 
H,CZ:300293 ,Shenyang Blue Silver Industry Automatic,남영장비nt Co Ltd,    , , , ,SZSE,CZ 
H,CZ:300294 ,China Resources Boya Bio-pharmaceutical,박아바이오Ltd,    , , , ,SZSE,CZ 
H,CZ:300295 ,Everyday Network Co Ltd,365 네트워크,    , , , ,SZSE,CZ 
H,CZ:300296 ,Leyard Optoelectronic Co Ltd,Leyard광전,    , , , ,SZSE,CZ 
H,CZ:300298 ,Sinocare Inc,삼낙바이오,    , , , ,SZSE,CZ 
H,CZ:300299 ,Fuchun Technology Co Ltd,부춘과학기술,    , , , ,SZSE,CZ 
H,CZ:300300 ,Strait Innovation Internet Co Ltd,한정우우인터넷,    , , , ,SZSE,CZ 
H,CZ:300301 ,Shenzhen Changfang Group Co Ltd,장방그룹,    , , , ,SZSE,CZ 
H,CZ:300302 ,Toyou Feiji Electronics Co Ltd,동유항공전자,    , , , ,SZSE,CZ 
H,CZ:300303 ,Shenzhen Jufei Optoelectronics Co Ltd,취비광전,    , , , ,SZSE,CZ 
H,CZ:300304 ,Jiangsu Yunyi Electric Co Ltd,운의전기,    , , , ,SZSE,CZ 
H,CZ:300305 ,Jiangsu Yuxing Film Technology Co Ltd,유흥박막과학기술,    , , , ,SZSE,CZ 
H,CZ:300306 ,Hangzhou Everfine Photo-e-info Co Ltd,원방광전정보,    , , , ,SZSE,CZ 
H,CZ:300307 ,Ningbo Cixing Co Ltd,자성,    , , , ,SZSE,CZ 
H,CZ:300308 ,Zhongji Innolight Co Ltd,중제욱창,    , , , ,SZSE,CZ 
H,CZ:300310 ,Eastone Century Technology Co Ltd,의통세기,    , , , ,SZSE,CZ 
H,CZ:300311 ,Surfilter Network Technology Co Ltd,임자행네트워크,    , , , ,SZSE,CZ 
H,CZ:300312 ,Boomsense Technology Co Ltd,방신테크놀로지,    , , , ,SZSE,CZ 
H,CZ:300313 ,Xinjiang Tianshan Animal Husbandry Bio-,천산목축생명공학td,    , , , ,SZSE,CZ 
H,CZ:300314 ,Ningbo David Medical Device Co Ltd,대유의료기,    , , , ,SZSE,CZ 
H,CZ:300315 ,Ourpalm Co Ltd,장취과기,    , , , ,SZSE,CZ 
H,CZ:300316 ,Zhejiang Jingsheng Mechanical and Elect,정성기전 Ltd,    , , , ,SZSE,CZ 
H,CZ:300317 ,Jiawei Renewable Energy Co Ltd,가위광복조명,    , , , ,SZSE,CZ 
H,CZ:300318 ,Beijing Bohui Innovation Biotechnology,박휘혁신기술,    , , , ,SZSE,CZ 
H,CZ:300319 ,Shenzhen Microgate Technology Co Ltd,맥첩마이크로,    , , , ,SZSE,CZ 
H,CZ:300320 ,Jiangyin Haida Rubber and Plastic Co Lt,해달고무플라스틱,    , , , ,SZSE,CZ 
H,CZ:300321 ,Shandong Tongda Island New Materials Co,동대신소재,    , , , ,SZSE,CZ 
H,CZ:300322 ,Huizhou Speed Wireless Technology Co Lt,석패덕무선테크놀로지,    , , , ,SZSE,CZ 
H,CZ:300323 ,BOE HC SemiTek Corp,화찬광전,    , , , ,SZSE,CZ 
H,CZ:300324 ,Beijing Watertek Information Technology,선겁정보,    , , , ,SZSE,CZ 
H,CZ:300325 ,Jiangsu Dewei Advanced Materials Co Ltd,덕위신소재,    , , , ,SZSE,CZ 
H,CZ:300326 ,Shanghai Kinetic Medical Co Ltd,개리태의료,    , , , ,SZSE,CZ 
H,CZ:300327 ,Sino Wealth Electronic Ltd,중영전자,    , , , ,SZSE,CZ 
H,CZ:300328 ,Dongguan Eontec Co Ltd,의안과학기수,    , , , ,SZSE,CZ 
H,CZ:300329 ,Hailun Piano Co Ltd,해륜피아노,    , , , ,SZSE,CZ 
H,CZ:300331 ,SVG Tech Group Co Ltd,소대유격광전과학기술,    , , , ,SZSE,CZ 
H,CZ:300332 ,Top Resource Energy Co Ltd,천호환경,    , , , ,SZSE,CZ 
H,CZ:300333 ,Sinosun Technology Co Ltd,조일과기,    , , , ,SZSE,CZ 
H,CZ:300334 ,Tianjin MOTIMO Membrane Technology Grou,진막테크놀로지,    , , , ,SZSE,CZ 
H,CZ:300335 ,Guangzhou Devotion Thermal Technology C,적삼열에너지기술,    , , , ,SZSE,CZ 
H,CZ:300337 ,Yinbang Clad Material Co Ltd,은방금속복합재료,    , , , ,SZSE,CZ 
H,CZ:300338 ,Kaiyuan Education Technology Group Co L,개원측정기,    , , , ,SZSE,CZ 
H,CZ:300339 ,Jiangsu Hoperun Software Co Ltd,윤화소프트웨어,    , , , ,SZSE,CZ 
H,CZ:300340 ,Jiangmen Kanhoo Industry Co Ltd,과항실업,    , , , ,SZSE,CZ 
H,CZ:300341 ,Motic (Xiamen) Electric Group Co Ltd,맥적전기,    , , , ,SZSE,CZ 
H,CZ:300342 ,Changshu Tianyin Electromechanical Co L,천은기전,    , , , ,SZSE,CZ 
H,CZ:300343 ,Lecron Industrial Development Group Co,연창인터넷미디어,    , , , ,SZSE,CZ 
H,CZ:300345 ,Hunan Huamin Holdings Co Ltd,홍우내마모신소재,    , , , ,SZSE,CZ 
H,CZ:300346 ,Jiangsu Nata Opto-electronic Material C,남대광전기재료,    , , , ,SZSE,CZ 
H,CZ:300347 ,Hangzhou Tigermed Consulting Co Ltd,태격제약,    , , , ,SZSE,CZ 
H,CZ:300348 ,Shenzhen Sunline Tech Co Ltd,장량과기,    , , , ,SZSE,CZ 
H,CZ:300349 ,Goldcard Smart Group Co Ltd,금잡지능그룹,    , , , ,SZSE,CZ 
H,CZ:300350 ,HPF Co Ltd,화붕비물류,    , , , ,SZSE,CZ 
H,CZ:300351 ,Zhejiang Yonggui Electric Equipment Co,영귀전기,    , , , ,SZSE,CZ 
H,CZ:300352 ,Beijing VRV Software Corp Ltd,북신원소프트웨어,    , , , ,SZSE,CZ 
H,CZ:300353 ,Kyland Technology Co Ltd,동토과기,    , , , ,SZSE,CZ 
H,CZ:300354 ,Donghua Testing Technology Co Ltd,동화측정기술,    , , , ,SZSE,CZ 
H,CZ:300355 ,M-Grass Ecology And Environment (Group),몽초생태환경,    , , , ,SZSE,CZ 
